Azmatullah Omarzai,AFG
Fazalhaq Farooqi,AFG
Gulbadin Naib,AFG
Hazratullah Zazai,AFG
Ibrahim Zadran,AFG
Karim Janat,AFG
Mohammad Nabi,AFG
Najibullah Zadran,AFG
Nangeyalia Kharote,AFG
Naveen-ul-Haq,AFG
Noor Ahmad,AFG
Rahmanullah Gurbaz,AFG
Rashid Khan,AFG
Mujeeb Ur Rahman,AFG
AC Agar,AUS
PJ Cummins,AUS
TH David,AUS
JR Hazlewood,AUS
TM Head,AUS
MR Marsh,AUS
GJ Maxwell,AUS
MA Starc,AUS
MP Stoinis,AUS
MS Wade,AUS
DA Warner,AUS
A Zampa,AUS
NT Ellis,AUS
Jaker Ali,BAN
Litton Das,BAN
Mahedi Hasan,BAN
Mahmudullah,BAN
Mustafizur Rahman,BAN
Najmul Hossain Shanto,BAN
Rishad Hossain,BAN
Shakib Al Hasan,BAN
Soumya Sarkar,BAN
Tanzid Hasan,BAN
Tanzim Hasan Sakib,BAN
Taskin Ahmed,BAN
Towhid Hridoy,BAN
DS Bajwa,CAN
NS Dhaliwal,CAN
D Heyliger,CAN
A Johnson,CAN
Kaleem Sana,CAN
NR Kirton,CAN
S Movva,CAN
Pargat Singh,CAN
Ravinderpal Singh,CAN
Saad Bin Zafar,CAN
N Dutta,CAN
JOA Gordon,CAN
Junaid Siddiqui,CAN
MM Ali,ENG
JC Archer,ENG
JM Bairstow,ENG
HC Brook,ENG
JC Buttler,ENG
SM Curran,ENG
WG Jacks,ENG
CJ Jordan,ENG
LS Livingstone,ENG
AU Rashid,ENG
PD Salt,ENG
RJW Topley,ENG
MA Wood,ENG
Arshdeep Singh,IND
JJ Bumrah,IND
S Dube,IND
RA Jadeja,IND
V Kohli,IND
Mohammed Siraj,IND
HH Pandya,IND
RR Pant,IND
AR Patel,IND
RG Sharma,IND
SA Yadav,IND
Kuldeep Yadav,IND
MR Adair,IRE
A Balbirnie,IRE
C Campher,IRE
GJ Delany,IRE
GH Dockrell,IRE
JB Little,IRE
BJ McCarthy,IRE
PR Stirling,IRE
HT Tector,IRE
LJ Tucker,IRE
B White,IRE
CA Young,IRE
JT Brassell,NAM
N Davin,NAM
MG Erasmus,NAM
JN Frylinck,NAM
ZE Green,NAM
JP Kotze,NAM
MB Kruger,NAM
T Lungameni,NAM
BM Scholtz,NAM
B Shikongo,NAM
JJ Smit,NAM
R Trumpelmann,NAM
M van Lingen,NAM
D Wiese,NAM
Aasif Sheikh,NEP
DS Airee,NEP
K Bhurtel,NEP
A Bohara,NEP
S Dhakal,NEP
Gulsan Jha,NEP
S Jora,NEP
Karan KC,NEP
Kushal Malla,NEP
S Lamichhane,NEP
RK Paudel,NEP
AK Sah,NEP
Sompal Kami,NEP
BFW de Leede,NED
A Dutt,NED
SA Edwards,NED
SA Engelbrecht,NED
VJ Kingma,NED
M Levitt,NED
AT Nidamanuru,NED
MP O'Dowd,NED
TJG Pringle,NED
LV van Beek,NED
PA van Meekeren,NED
Vikramjit Singh,NED
FH Allen,NZ
TA Boult,NZ
MG Bracewell,NZ
MS Chapman,NZ
DP Conway,NZ
LH Ferguson,NZ
MJ Henry,NZ
DJ Mitchell,NZ
JDS Neesham,NZ
GD Phillips,NZ
R Ravindra,NZ
MJ Santner,NZ
TG Southee,NZ
KS Williamson,NZ
IS Sodhi,NZ
Aqib Ilyas,OMA
PS Athavale,OMA
Ayaan Khan,OMA
Bilal Khan,OMA
Fayyaz Butt,OMA
Kaleemullah,OMA
Khalid Kail,OMA
Mehran Khan,OMA
Mohammad Nadeem,OMA
Naseem Khushi,OMA
KH Prajapati,OMA
Rafiullah,OMA
Shakeel Ahmed,OMA
Shoaib Khan,OMA
Zeeshan Maqsood,OMA
Abbas Afridi,PAK
Azam Khan,PAK
Babar Azam,PAK
Fakhar Zaman,PAK
Haris Rauf,PAK
Iftikhar Ahmed,PAK
Imad Wasim,PAK
Mohammad Rizwan,PAK
Naseem Shah,PAK
Saim Ayub,PAK
Shadab Khan,PAK
Shaheen Shah Afridi,PAK
Usman Khan,PAK
Mohammad Amir,PAK
CJA Amini,PNG
S Bau,PNG
K Doriga,PNG
H Hiri,PNG
SI Kamea,PNG
J Kariko,PNG
KV Morea,PNG
A Nao,PNG
L Siaka,PNG
CA Soper,PNG
TP Ura,PNG
A Vala,PNG
N Vanua,PNG
RD Berrington,SCOT
MH Cross,SCOT
CN Greaves,SCOT
MA Jones,SCOT
MA Leask,SCOT
B McMullen,SCOT
HG Munsey,SCOT
BJ Currie,SCOT
SM Sharif,SCOT
CB Sole,SCOT
MRJ Watt,SCOT
BTJ Wheal,SCOT
Q de Kock,SA
RR Hendricks,SA
M Jansen,SA
H Klaasen,SA
KA Maharaj,SA
AK Markram,SA
DA Miller,SA
A Nortje,SA
K Rabada,SA
T Stubbs,SA
OEG Baartman,SA
T Shamsi,SA
KIC Asalanka,SL
DM de Silva,SL
PW Hasaranga,SL
AD Mathews,SL
BKG Mendis,SL
PHKD Mendis,SL
P Nissanka,SL
M Pathirana,SL
S Samarawickrama,SL
MD Shanaka,SL
M Theekshana,SL
N Thushara,SL
F Achelam,UGA
Bilal Hassun,UGA
C Kyewuta,UGA
B Masaba,UGA
J Miyagi,UGA
RG Mukasa,UGA
DM Nakrani,UGA
F Nsubuga,UGA
R Obuya,UGA
RB Patel,UGA
AR Ramjani,UGA
Riazat Ali Shah,UGA
S Ssesazi,UGA
H Ssenyondo,UGA
K Waiswa,UGA
NP Kenjige,USA
Aaron Jones,USA
Ali Khan,USA
CJ Anderson,USA
AGS Gous,USA
Harmeet Singh,USA
Jasdeep Singh,USA
NR Kumar,USA
Milind Kumar,USA
SN Netravalkar,USA
MD Patel,USA
Shayan Jahangir,USA
SR Taylor,USA
SC van Schalkwyk,USA
J Charles,WI
RL Chase,WI
SD Hope,WI
AJ Hosein,WI
AS Joseph,WI
BA King,WI
KR Mayers,WI
G Motie,WI
N Pooran,WI
R Powell,WI
AD Russell,WI
SE Rutherford,WI
R Shepherd,WI
OC McCoy,WI
